등급,이름,타입,직업,포격,충파,지원,백병,박물,심미,척후,보급,구매,판매,협상,교환,Lv 10 직업 효과,Lv 10 직업 효과,Lv 30 인물 효과,Lv 30 인물 효과,LV 50 직업 효과,LV 50 직업 효과,LV 70 인물 효과,LV 70 인물 효과,잠재 효과 1,잠재 효과 2,인연 연대기 추가 효과 1,인연 연대기 추가 효과 2,교전 기술 LV 1,교전 기술 LV 50,인연 연대기 추가 기술
S+,조안 페레로,모험,왕국 탐험가,45,113,89,68,236,448,236,363,209,159,186,136,가면을 쓴 약탈자,부지런한 탐험가,방어 무시 충파,능숙한 돛 조종,충파 방어력 증폭,해적 사냥,충파 시 추가 고정 피해,명성 지향,해적 척결,관찰 채집,,,광역 충파: 싸움 유발,정밀 충파: 혼란 유발,
S+,카탈리나 에란초,전투,해군 장교,370,228,214,469,66,42,111,92,156,183,133,211,백병 공격력 증폭,백병 시 추가 백병,혼란 백병,백병 시 추가 고정 피해,백병 치명타 추가 피해,방어 무시 백병,백병 피해 무시,선원 긴급 치료,대혼란 백병,백병 피해 무효,,,백병: 혼란 유발,강화 백병: 키 손상 유발,
S+,알 베자스,교역,오스만 무역상,44,88,116,68,212,186,141,157,478,354,239,227,무기류 거래 전문,무기류 구매 할인,직물 거래 전문,기회 포착,기호품 거래 전문,기호품 구매 할인,포격 시 추가 포격,총포류 구매 할인,바가지의 현인,향료 거래 달인,,,행동 봉쇄,광역 포격: 싸움 유발,
S+,옷토 스피노라,전투,사략 해적,463,375,217,225,183,195,137,162,43,70,108,90,포격 치명타 발생 증폭,포격 공격력 증폭,혼란 포격,포격 시 추가 고정 피해,포격 치명타 추가 피해,방어 무시 포격,포격 시 추가 포격,포격 피해 무시,포격 치명타 피해 증폭,대혼란 포격,,,광역 포격: 싸움 유발,정밀 포격: 혼란 유발,
S+,에르네스트 로페스,모험,지리학 강사,44,113,90,68,478,363,239,224,212,136,165,181,충파 공격력 증폭,장애물 탐지,향신료 판매 할증,명성 지향,관찰 공부,능숙한 돛 조종,포격 피해 무시,능숙한 노 젓기,맹수 척결,관측 후 채집,,,정밀 포격: 혼란 유발,포격: 방어 무시,
S+,피에트로 콘티,모험,오지 탐험가,68,92,113,45,382,454,239,227,141,161,212,181,채집의 달인,호전적인 탐험가,향신료 판매 할증,긴축 배급,충파 공격력 증폭,맹수 사냥,충파 시 추가 고정 피해,명성 지향,탐험 물자 절약 심화,전투적인 채집,,,충파 위력 강화,강화 포격: 돛 손상 유발,
S+,밀란다 베르테,모험,비경 탐험가,45,67,113,90,236,363,472,227,139,201,163,181,주의깊은 탐험가,진귀한 탐험,능숙한 돛 조종,향료 판매 할증,백병 공격력 증폭,명성 추구,혼란 충파,명성 지향,채집의 명인,전투적인 관찰,,,포격: 방어 무시,광역 포격: 싸움 유발,
S+,살바도르 레이스,전투,알제 해적,228,375,217,463,160,130,205,183,108,93,43,69,백병 회피 증폭,백병 명중 증폭,백병 피해 무시,백병 시 추가 고정 피해,백병 치명타 발생 증폭,백병 방어력 증폭,방어 무시 백병,혼란 백병,백병 공격력 증폭 심화,대혼란 백병,,,정밀 백병: 혼란 유발,백병: 키 손상 유발,
S+,앤 보니,전투,나사우 해적,370,228,214,469,137,171,160,208,88,114,66,46,백병 공격력 증폭,백병 방어력 증폭,혼란 백병,시작 시 기동력 회복량 증폭,백병 반격 강화,백병 시 추가 고정 피해,방어 무시 백병,백병 피해 무시,백병 치명타 피해 증폭,백병 치명타 피해 저항 증폭,백병 치명타 피해 증가,,백병: 방어 무시,난전 백병: 중독 유발,난전 백병: 내전 유발
S+,사이이다 알 후라,전투,테투안 영주,228,228,457,370,66,114,88,45,151,183,195,139,의술 회복량 증폭,의술 극대화 발생 증가,내구도 증가,이동 전 기동력 소모 감소,시작 시 상급 의술,행동 전 공방 위력 증폭,포격 피해 무시,시작 전 이동력 증폭,시작 시 최상급 의술,기회 창출,,,백병: 혼란 유발,정화: 전투태세,
S+,레온 페레로,교역,페레로 가주,113,45,69,89,163,139,209,181,373,454,233,224,미술품 판매 할증,무기류 거래 전문,미술품 거래 우대,무기류 판매 할증,포격 방어력 증폭,긴축 배급,포격 피해 무시,보석 판매 할증,총포류 판매 달인,공업품 거래 달인,,,포격: 키 손상 유발,정밀 포격: 혼란 유발,
S+,그레이스 오말리,전투,아일랜드 해적,370,463,222,228,200,156,178,139,107,92,64,45,충파 공격력 증가,충파 공격력 증폭,혼란 충파,기회 포착,충파 치명타 추가 피해,충파 방어력 증폭,방어 무시 충파,충파 시 추가 고정 피해,충파 피해 무효,행동 전 공방 위력 증폭 심화,,,충파: 방어 무시,광역 충파: 싸움 유발,
S+,찬드 비비,교역,비자푸르 섭정,69,89,46,113,212,184,141,161,233,359,466,227,미술품 거래 전문,향신료 구매 할인,향신료 거래 전문,긴축 배급,미술품 구매 할인,향신료 판매 할증,백병 피해 무시,미술품 판매 할증,미술품 판매 달인,향신료 거래 달인,,,백병 공격력 강화,행동 봉쇄,
