품목,기후,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
기호품,남반구,평,평,성,성,성,평,평,평,비,비,비,평
기호품,북반구,평,평,비,비,비,평,평,평,성,성,성,평
기호품,열대,평,평,평,평,평,평,평,평,평,평,평,평
기호품,한대,평,평,평,평,평,평,평,평,평,평,평,평
기호품,건기/우기,성,성,성,성,성,비,비,비,비,비,성,성
기호품,우기/건기,비,비,비,비,성,성,성,성,성,성,성,비
기호품,건기2/우기2,성,성,성,성,비,비,비,비,비,비,성,성
식료품,남반구,평,평,성,성,성,평,평,평,비,비,비,평
식료품,북반구,평,평,비,비,비,평,평,평,성,성,성,평
식료품,열대,평,평,평,평,평,평,평,평,평,평,평,평
식료품,한대,평,평,평,평,평,평,평,평,평,평,평,평
식료품,건기/우기,성,성,성,성,평,평,평,평,평,평,평,성
식료품,우기/건기,평,평,평,평,성,성,성,성,성,성,성,평
식료품,건기2/우기2,성,성,성,성,평,평,평,평,평,평,성,성
향료,남반구,평,평,성,성,성,평,평,평,비,비,비,평
향료,북반구,평,평,비,비,비,평,평,평,성,성,성,평
향료,열대,평,평,평,평,평,평,평,평,평,평,평,평
향료,한대,평,평,평,평,평,평,평,평,평,평,평,평
향료,건기/우기,비,비,비,비,성,성,성,성,성,성,성,비
향료,우기/건기,성,성,성,성,비,비,비,비,비,비,비,성
향료,건기2/우기2,비,비,비,비,성,성,성,성,성,성,비,비
가축,남반구,비,비,평,평,평,성,성,성,평,평,평,비
가축,북반구,성,성,평,평,평,비,비,비,평,평,평,성
가축,열대,평,평,평,평,평,평,평,평,평,평,평,평
가축,한대,평,평,평,평,평,평,평,평,평,평,평,평
가축,건기/우기,성,성,성,성,평,평,평,평,평,평,평,성
가축,우기/건기,평,평,평,평,성,성,성,성,성,성,성,평
가축,건기2/우기2,성,성,성,성,평,평,평,평,평,평,성,성
귀금속,남반구,비,비,평,평,평,성,성,성,평,평,평,비
귀금속,북반구,성,성,평,평,평,비,비,비,평,평,평,성
귀금속,열대,평,평,평,평,평,평,평,평,평,평,평,평
귀금속,한대,평,평,평,평,평,평,평,평,평,평,평,평
귀금속,건기/우기,성,성,성,성,비,비,비,비,비,비,비,성
귀금속,우기/건기,비,비,비,비,성,성,성,성,성,성,성,비
귀금속,건기2/우기2,성,성,성,성,비,비,비,비,비,비,성,성
주류,남반구,비,비,평,평,평,성,성,성,평,평,평,비
주류,북반구,성,성,평,평,평,비,비,비,평,평,평,성
주류,열대,평,평,평,평,평,평,평,평,평,평,평,평
주류,한대,평,평,평,평,평,평,평,평,평,평,평,평
주류,건기/우기,성,성,성,성,비,비,비,비,비,비,비,성
주류,우기/건기,비,비,비,비,성,성,성,성,성,성,성,비
주류,건기2/우기2,성,성,성,성,비,비,비,비,비,비,성,성
섬유,남반구,비,비,평,평,평,성,성,성,평,평,평,비
섬유,북반구,성,성,평,평,평,비,비,비,평,평,평,성
섬유,열대,평,평,평,평,평,평,평,평,평,평,평,평
섬유,한대,평,평,평,평,평,평,평,평,평,평,평,평
섬유,건기/우기,평,평,평,평,성,성,성,성,성,성,성,평
섬유,우기/건기,성,성,성,성,평,평,평,평,평,평,평,성
섬유,건기2/우기2,평,평,평,평,성,성,성,성,성,성,평,평
의약품,남반구,평,평,비,비,비,평,평,평,성,성,성,평
의약품,북반구,평,평,성,성,성,평,평,평,비,비,비,평
의약품,열대,평,평,평,평,평,평,평,평,평,평,평,평
의약품,한대,평,평,평,평,평,평,평,평,평,평,평,평
의약품,건기/우기,평,평,평,평,성,성,성,성,성,성,성,평
의약품,우기/건기,성,성,성,성,평,평,평,평,평,평,평,성
의약품,건기2/우기2,평,평,평,평,성,성,성,성,성,성,평,평
조미료,남반구,성,성,평,평,평,비,비,비,평,평,평,성
조미료,북반구,비,비,평,평,평,성,성,성,평,평,평,비
조미료,열대,평,평,평,평,평,평,평,평,평,평,평,평
조미료,한대,평,평,평,평,평,평,평,평,평,평,평,평
조미료,건기/우기,성,성,성,성,평,평,평,평,평,평,평,성
조미료,우기/건기,평,평,평,평,성,성,성,성,성,성,성,평
조미료,건기2/우기2,성,성,성,성,평,평,평,평,평,평,성,성
광석,남반구,평,평,비,비,비,평,평,평,성,성,성,평
광석,북반구,평,평,성,성,성,평,평,평,비,비,비,평
광석,열대,평,평,평,평,평,평,평,평,평,평,평,평
광석,한대,평,평,평,평,평,평,평,평,평,평,평,평
광석,건기/우기,성,성,성,성,비,비,비,비,비,비,비,성
광석,우기/건기,비,비,비,비,성,성,성,성,성,성,성,비
광석,건기2/우기2,성,성,성,성,비,비,비,비,비,비,성,성
직물,남반구,평,평,비,비,비,평,평,평,성,성,성,평
직물,북반구,평,평,성,성,성,평,평,평,비,비,비,평
직물,열대,평,평,평,평,평,평,평,평,평,평,평,평
직물,한대,평,평,평,평,평,평,평,평,평,평,평,평
직물,건기/우기,성,성,성,성,비,비,비,비,비,비,비,성
직물,우기/건기,비,비,비,비,성,성,성,성,성,성,성,비
직물,건기2/우기2,성,성,성,성,비,비,비,비,비,비,성,성
향신료,남반구,평,평,비,비,비,평,평,평,성,성,성,평
향신료,북반구,평,평,성,성,성,평,평,평,비,비,비,평
향신료,열대,평,평,평,평,평,평,평,평,평,평,평,평
향신료,한대,평,평,평,평,평,평,평,평,평,평,평,평
